<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,60,20211206,160000,333.837,334.34,316.833,324.88,11549295,0
TSLA.US,60,20211206,170000,324.68,332.35,320.683,326.853,8159211,0
TSLA.US,60,20211206,180000,327.002,328.547,323.59,325.238,4428666,0
TSLA.US,60,20211206,190000,325.14,335.6,325.14,334.667,5857929,0
TSLA.US,60,20211206,200000,334.87,338.183,333.853,337.327,4784202,0
TSLA.US,60,20211206,210000,337.313,340.547,334.89,335.693,4377882,0
TSLA.US,60,20211206,220000,335.793,337.2,334.167,336.337,4904505,0
TSLA.US,60,20211207,160000,348.067,350.377,342.473,349.333,6465714,0
TSLA.US,60,20211207,170000,349.343,351.153,344.017,344.55,5946891,0
TSLA.US,60,20211207,180000,344.667,346.863,342.27,345.863,4662234,0
TSLA.US,60,20211207,190000,345.873,349.1,345.807,348.64,2944788,0
TSLA.US,60,20211207,200000,348.64,351.433,346.7,351.287,2738517,0
TSLA.US,60,20211207,210000,351.33,352.557,349.073,350.007,3445530,0
TSLA.US,60,20211207,220000,350.003,350.93,347.03,350.63,4438938,0
TSLA.US,60,20211208,160000,350.903,351.67,344.333,346.783,4653768,0
TSLA.US,60,20211208,170000,346.667,348.103,345.187,346.477,3415917,0
TSLA.US,60,20211208,180000,346.477,350.12,345.717,349.133,2618802,0
TSLA.US,60,20211208,190000,349.003,352.667,348.183,351.717,2417145,0
TSLA.US,60,20211208,200000,351.757,355.923,351.687,354.533,3591750,0
TSLA.US,60,20211208,210000,354.627,355.833,352.467,355.197,2160273,0
TSLA.US,60,20211208,220000,355.227,357.46,353.813,356.32,4609080,0
TSLA.US,60,20211209,160000,353.547,354.163,346.12,347.933,5526696,0
TSLA.US,60,20211209,170000,348.107,349.247,344.073,344.287,5484801,0
TSLA.US,60,20211209,180000,344.29,346.54,342.833,343.957,4001436,0
TSLA.US,60,20211209,190000,343.933,344.667,342.753,344.307,2393496,0
TSLA.US,60,20211209,200000,344.227,344.267,337.667,338.457,5400771,0
TSLA.US,60,20211209,210000,338.343,340.18,337.077,337.483,3640611,0
TSLA.US,60,20211209,220000,337.477,339.5,334.12,334.6,9024270,0
TSLA.US,60,20211210,160000,336.25,337.603,327.51,328.374,6935988,0
TSLA.US,60,20211210,170000,328.437,335.15,328.144,330.813,5878509,0
TSLA.US,60,20211210,180000,330.67,339.833,328.853,338,5452803,0
TSLA.US,60,20211210,190000,338.293,338.633,334.77,337.997,2936058,0
TSLA.US,60,20211210,200000,337.973,340.107,337.183,339.317,2605290,0
TSLA.US,60,20211210,210000,339.267,340.327,336.747,337.027,2215188,0
TSLA.US,60,20211210,220000,336.933,339.667,335.797,339.01,5441001,0
TSLA.US,60,20211213,160000,333.697,335,326.077,326.32,6741609,0
TSLA.US,60,20211213,170000,326.32,328.627,320.02,322.407,9785034,0
TSLA.US,60,20211213,180000,322.383,323.747,319.07,320.74,5564610,0
